rainfall,runoff
2.99,881
11.1,889
10.1,893
12.5,988
8.34,978
9.05,1.03E+03
10.9,1.11E+03
5.48,1.10E+03
8.57,1.11E+03
8.46,3.44E+03
8.59,1.36E+03
7.95,2.61E+03
7.3,1.21E+03
4.9,1.08E+03
6.24,1.10E+03
8.01,1.14E+03
7.79,1.14E+03
7.17,2.79E+03
7.58,2.41E+03
10.9,1.34E+03
7.92,1.23E+03
11.3,2.38E+03
9.47,2.19E+03
7.62,2.06E+03
7.01,2.08E+03
6.89,2.15E+03
12.9,2.71E+03
13.1,2.90E+03
14.5,2.85E+03
0.169,2.43E+03
18.6,2.66E+03
1.73,2.36E+03
18.3,2.59E+03
0.047,2.29E+03
0.147,2.13E+03
0,2.01E+03
0,1.92E+03
0.076,1.84E+03
0.044,1.23E+03
18.2,2.02E+03
13.7,2.13E+03
15,2.35E+03
0.001,2.05E+03
0.089,1.87E+03
0,1.16E+03
0.076,1.06E+03
0,1.02E+03
17.9,1.19E+03
16.2,3.03E+03
17,2.94E+03
14.1,2.70E+03
19.2,2.91E+03
13.6,2.78E+03
0.099,2.35E+03
13.2,2.57E+03
0.076,2.27E+03
6.4,2.23E+03
0,2.08E+03
0,1.97E+03
0,1.88E+03
0,1.20E+03
0,1.12E+03
0,1.10E+03
0,1.10E+03
0,1.11E+03
0,1.12E+03
0.37,1.12E+03
0.353,1.12E+03
0,1.11E+03
5.75,1.10E+03
0,1.08E+03
7.66,1.06E+03
0,1.04E+03
6.56,1.01E+03
0,987
0,961
0,934
0,908
0,883
0,800
0,776
0,760
0,746
0,733
0,719
0,705
0,690
0,675
0,661
0.685,646
0,632
0.636,618
0,605
0.778,592
0,580
0,567
0,555
0,544
0,533
0,521
0,510
0,499
0,488
0,478
0,466
0,450
1.34,437
0,425
0,413
0,402
0,392
0,382
0,371
0,362
0,352
0,342
0,332
0,323
3.19,306
7.21,295
0,284
0,275
0,266
0,258
0,249
0,242
0.862,235
0,228
0,221
0,215
0,209
1.19,203
3.59,197
0,191
0,186
0,181
0,176
0,171
0,166
0.196,162
0,157
0,153
4.5,148
0,144
4.5,140
0,136
0,132
0,128
0,124
0.805,120
0,117
1.16,114
0,111
4.49,108
0.188,104
0,102
0,98.7
0.57,96.4
0,94
0,91.5
0,89.2
0,87
0,84.6
0,82.8
0,80.8
0,78.7
0,77
0.009,75.2
2.17,73.4
0,71.7
0,70
2.5,68.6
1.71,67.1
2.6,65.6
0.783,64
9.29,62.6
0,61.2
10.7,59.9
0,58.7
0,57.4
0,56.1
0,55
0,53.9
0,52.7
0.143,51.7
0.351,50.8
0.112,49.7
0.976,48.8
1.05,47.6
0,46.9
4.03,46
11,45.2
0.099,44.6
0.16,43.6
0.111,43
0.18,42.4
5.2,41.6
0.132,40.9
4.87,40.4
0,39.7
0.173,39
0,38.5
8.73,38
1.25,37.4
9.57,37.5
0.125,36.8
0.077,36.3
3.32,36.1
1.35,35.5
1.08,35.2
8,35
0.464,34.6
7.5,34.1
0.813,33.9
0,33.6
0.762,33.2
4.54,33.1
0.59,32.8
0.525,32.6
1.5,32.6
0,32.4
0.235,32.1
1.1,32.2
0.799,32.2
8.41,32.1
0.725,32.3
5.7,36
0.359,34.2
6.92,34.4
0.606,34.4
0,34.7
1.88,35
0.81,35.3
0.477,35.7
2.81,36.1
3.46,36.8
0,37.3
1.13,38.2
0,39
7.02,40
0.608,41.1
0.187,42.9
4.72,44.5
0.907,46.3
1.68,48.6
2.14,51.2
0.076,53.9
1.78,57
0.174,60.4
3.12,63.8
0.218,67.3
0.245,71.2
6.37,82
0.116,85.3
0.493,89.2
1.25,93.3
5.84,97.7
7.21,102
6.15,106
4.3,111
4.69,115
4.45,119
0.325,123
0.145,127
7.1,140
2.63,142
7.55,151
0,152
0.046,155
2.15,157
1.74,159
0,161
0.055,164
0.618,166
1.38,168
7.67,171
0.145,174
0.353,179
4.84,185
0.126,192
0.233,201
0.072,212
0.132,226
0,241
1.28,257
0,274
0.273,292
1.05,309
0,326
0.134,341
0,354
6.09,373
0,381
7.08,391
0,397
0,402
0,406
0.204,410
0,414
0,417
0,421
0,428
0,440
0,456
0,542
11.4,572
0,612
0,659
0,712
0,772
0,836
0,905
0,979
0,3.42E+03
0,2.52E+03
7.9,2.05E+03
10.3,2.03E+03
10.7,1.82E+03
7.07,1.74E+03
0,1.69E+03
0,1.65E+03
8.02,1.63E+03
0,1.57E+03
0,1.52E+03
0,819
0,781
1.04,784
0,809
1.81,841
0.522,870
13.9,905
15.6,955
15.5,1.01E+03
14.7,3.96E+03
4.17,1.21E+03
2.54,992
3.51,884
13.3,884
1.21,878
4.56,936
11.6,942
12,969
13.3,1.01E+03
3.75,1.02E+03
0.752,1.04E+03
9.91,1.08E+03
4.65,1.10E+03
3.48,1.17E+03
13.2,1.14E+03
14,1.16E+03
5.28,1.16E+03
0,1.15E+03
15.7,1.24E+03
15.7,1.33E+03
2.96,1.26E+03
13,1.30E+03
13,1.32E+03
1.06,1.26E+03
3.39,1.23E+03
2.38,1.20E+03
11.6,1.20E+03
8.09,1.20E+03
7.02,1.26E+03
1.87,1.21E+03
7.5,1.20E+03
5.72,1.21E+03
11.5,1.28E+03
10,1.30E+03
13,1.36E+03
7.2,1.45E+03
7.93,4.83E+03
10.7,1.61E+03
9.31,1.29E+03
11.3,1.21E+03
12,1.21E+03
12.3,1.26E+03
7.74,1.29E+03
0.794,1.29E+03
9.1,1.32E+03
9.12,1.39E+03
5.23,1.41E+03
6.82,1.42E+03
13.7,1.48E+03
9.03,1.59E+03
9.32,1.65E+03
14.1,1.68E+03
12.1,5.16E+03
8.5,3.74E+03
8.42,1.82E+03
8.9,1.57E+03
0,1.44E+03
0.076,1.39E+03
14.2,1.46E+03
0.322,1.44E+03
0,1.44E+03
0.076,1.44E+03
17.8,1.50E+03
0,1.48E+03
0.053,1.47E+03
0.001,1.45E+03
15.1,1.53E+03
1.52,1.48E+03
0,1.44E+03
0.068,1.40E+03
0,1.37E+03
0.068,1.33E+03
0,1.29E+03
0,1.25E+03
14.9,1.23E+03
0,1.19E+03
14,1.30E+03
14.1,1.43E+03
17.9,4.87E+03
0.001,1.62E+03
16.9,3.22E+03
0.064,1.34E+03
14.9,2.86E+03
9.63,2.86E+03
15,2.82E+03
0.077,1.34E+03
0.034,1.15E+03
0,1.06E+03
0,1.03E+03
0.642,1.03E+03
0,1.04E+03
0,1.04E+03
0,1.05E+03
0.113,1.06E+03
1.23,1.06E+03
0.129,1.06E+03
0,1.05E+03
0,1.04E+03
0,1.02E+03
8.11,1.01E+03
0,988
0,967
0,945
7.56,863
0,840
2.17,824
0,810
0,795
0,780
0,764
0,747
0,730
0,712
0,696
0.724,679
7.21,663
0.733,646
8.19,631
0,616
0,602
0,588
0,575
0,561
0,549
0.02,536
0.839,525
0,513
0,501
0,491
0,480
0,470
0,460
0,450
1.08,440
0,431
0,420
0,405
1.19,394
0,382
0,371
0,362
0,352
0,343
0,334
0,326
0,316
0,308
0,300
0.411,293
0.478,278
0,268
0,259
0,250
0,242
0,236
0,229
0,222
0,216
0.292,210
0,204
0,199
0,194
0,189
0,184
0,179
0,174
0,170
0,165
0.559,161
0,156
0.644,152
0,148
0,144
0,140
0,137
0.404,134
9.03,130
0,127
0,124
0.01,121
2.72,117
0.471,115
9.86,112
0.434,109
0,106
0,102
0,98.9
0,96
0,93.7
0,90.8
10.8,88.6
0,86.3
10.2,84.4
0,81.8
9.34,79.8
1.19,78
10,76.6
0,74.6
2.49,73
3.55,71.5
9.24,70.1
0,68.5
0,66.9
0,65.4
0,64.3
0,62.9
0,61.7
0,60.7
0.953,59.4
0,58.3
2.05,57.2
0.065,56.4
10.5,57.4
0.027,55.1
8.92,54.2
11.1,53.2
8.94,52.5
0,51.6
0.662,50.7
1.66,49.9
2.46,49.4
0,48.5
10.1,47.9
2.55,47.3
0,46.6
0,46.1
9.7,45.8
